value,key,value_count,key_count,
73,lid,68432,14669,
225,h,68292,39000,
rb-0.3.5,ixlib,68292,68291,
Guest,NRCACHEHINT,68162,67798,
4201,pf_rd_t,68075,67375,
jpeg,format,68069,46725,
False,Print,67938,18024,
twitter_free_finds,init_source,67909,67909,
Basel,city,67821,65918,
109,ele,67777,20115,
qr,utm_source,67488,67437,
navbar-4201,pf_rd_i,67377,67375,
add,op,66875,24828,
5bd1ceefa0e845001aa4d83d,appKey,66866,66866,
homepage,PAG,66806,56155,
HCOM_ME,pos,66733,66733,
310000033,siteid,66690,66688,
Merchant,sort,66684,66678,
desktop-gws-wiz-on-focus-serp,client,66646,66646,
auto,width,66628,50589,
skins.vector.icons,modules,66578,66578,
ALC,P,66239,65995,
profiletracking,utm_campaign,66070,66058,
sssite,utm_medium,66031,65985,
whoposted,do,65962,65955,
nolocation,U,65943,65942,
kid+friendly,suitability,65808,65807,
pageVisit,type,65486,65486,
ads_lnk_delete,ref,65452,65452,
330,w,65432,52344,
category,pl_type,65414,52591,
progressive,variant,65379,65283,
rss-topheadlines,xid,65270,65268,
Segnalazione,subject,65253,65250,
Verkauf,contratto,64976,64971,
AllResources,search_scope,64913,64912,
310,w,64901,55021,
39UPI_V2,vid,64876,64874,
79,lid,64512,15969,
https%3A,REFER,64405,32283,
content,content,64365,33478,
minerva,skin,64357,64340,
74,lid,63948,14068,
u,asc,63927,57043,
240,f,63846,11904,
98,h,63809,9714,
LOGIN,ACTION,63470,63433,
live,env,63436,59379,
http%3A%2F%2Fforums%2Feve%2FOCClient%3Fs%3D70010347%26mod%3D80010347%26csra%3DY,CLIENT_URL,63380,63380,
et,_Lang,63379,23586,
non-smoking,suitability,63179,63178,
1549832382000,v,62969,62969,
publtypeh,filter_field_1,62768,30244,
